ark_id,collection_en,acquisition_type_en,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
cl010053051,Paintings,Purchase,,,,0,1850.0
cl010053052,Paintings,Other,,,100+,0,1850.0
cl010053054,Paintings,Purchase,,,,0,1755.0
cl010053057,Paintings,Historic Collection,,,,0,1750.0
cl010053058,Paintings,Gift,,,100+,0,1663.0
cl010053059,Paintings,Bequest,,,,0,1750.0
cl010053061,Paintings,Purchase,,,,0,1850.0
cl010053062,Paintings,Other,,,100+,0,1819.0
cl010053064,Paintings,Other,,,100+,0,1820.0
cl010053066,Paintings,Other,,,100+,0,1850.0
cl010053067,Paintings,Other,,,81-100,0,1775.0
cl010053068,Paintings,Purchase,,,81-100,0,1750.0
cl010053069,Paintings,Purchase,,,100+,0,1843.0
cl010053070,Paintings,Other,,,,0,1757.0
cl010053072,Paintings,Purchase,,,61-80,0,1730.0
cl010053075,Paintings,Other,,,,0,1773.0
cl010053076,Paintings,Other,,,,0,1774.0
cl010053077,Paintings,Bequest,,,100+,0,1650.0
cl010053078,Paintings,Historic Collection,,,,0,1650.0
cl010053079,Paintings,Gift,,,100+,0,1648.0
cl010053080,Paintings,Gift,,,100+,0,1646.0
cl010053081,Paintings,Gift,,,,0,1715.0
cl010053082,Paintings,Gift,,,100+,0,1685.0
cl010053083,Paintings,Historic Collection,,,,0,1650.0
cl010053084,Paintings,Gift,,,100+,0,1678.0
cl010053086,Paintings,Historic Collection,,,,0,1640.0
cl010053087,Paintings,Gift,,,100+,0,1750.0
cl010053088,Paintings,Gift,,,,0,1638.0
cl010053089,Paintings,Gift,,,,0,1637.0
cl010053090,Paintings,Purchase,,,,0,1850.0
cl010053091,Paintings,Bequest,,,81-100,0,1841.0
cl010053092,Paintings,Gift,,,100+,0,1644.0
cl010053093,Paintings,Gift,,,100+,0,1672.0
cl010053094,Paintings,Bequest,,,,0,1842.0
cl010053096,Paintings,Other,,,100+,0,1817.0
cl010053097,Paintings,Other,,,100+,0,1850.0
cl010053099,Paintings,Other,,,100+,0,1850.0
cl010053100,Paintings,Historic Collection,,,,0,1616.5
cl010053101,Paintings,Gift,,,100+,0,1680.0
cl010053102,Paintings,Historic Collection,,,,0,1679.0
cl010053103,Paintings,Historic Collection,,,,0,1714.0
cl010053104,Paintings,Historic Collection,,,,0,1711.0
cl010053106,Paintings,Purchase,,,,0,1850.0
cl010053107,Paintings,Other,,,,0,1757.0
cl010053108,Paintings,Historic Collection,,,,0,1650.0
cl010053109,Paintings,Other,,,,0,1741.0
cl010053112,Paintings,Historic Collection,,,100+,0,1693.0
cl010053113,Paintings,Gift,,,,0,1651.5
cl010053114,Paintings,Other,,,,0,1781.0
cl010053115,Paintings,Historic Collection,,,,0,1688.0
cl010053116,Paintings,Gift,,,100+,0,1688.0
cl010053118,Paintings,Other,,,100+,0,1824.0
cl010053119,Paintings,Gift,,,100+,0,1703.0
cl010053120,Paintings,Gift,,,100+,0,1704.0
cl010053121,Paintings,Other,,,,0,1850.0
cl010053122,Paintings,Gift,,,100+,0,1652.0
cl010053123,Paintings,Historic Collection,,,100+,0,1764.0
cl010053124,Paintings,Other,,,,0,1764.0
cl010053125,Paintings,Gift,,,,0,1775.0
cl010053126,Paintings,Other,,,,0,1761.0
cl010053127,Paintings,Other,,,,0,1767.0
cl010053128,Paintings,Other,,,100+,0,1850.0
cl010053134,Paintings,Historic Collection,,,,0,1722.0
cl010053135,Paintings,Other,,,,0,1733.0
cl010053136,Paintings,Historic Collection,,,,0,1764.0
cl010053137,Paintings,Other,,,100+,0,1709.0
cl010053139,Paintings,Historic Collection,,,,0,1735.0
cl010053140,Paintings,Historic Collection,,,,0,1725.0
cl010053141,Paintings,Other,,,,0,1744.0
cl010053142,Paintings,Historic Collection,,,,0,1711.0
cl010053143,Paintings,Historic Collection,,,,0,1767.0
cl010053144,Paintings,Other,,,,0,1686.5
cl010053145,Paintings,Purchase,,,,0,1650.0
cl010053146,Paintings,Historic Collection,,,100+,0,1673.0
cl010053147,Paintings,Other,,,,0,1756.0
cl010053148,Paintings,Historic Collection,,,,0,1772.0
cl010053149,Paintings,Other,,,,0,1769.0
cl010053151,Paintings,Historic Collection,,,,0,1750.0
cl010053152,Paintings,Historic Collection,,,,0,1785.0
cl010053153,Paintings,Historic Collection,,,100+,0,1689.0
cl010053154,Paintings,Gift,,,,0,1650.0
cl010053156,Paintings,Historic Collection,,,,0,1761.0
cl010053157,Paintings,Historic Collection,,,100+,0,1718.0
cl010053158,Paintings,Historic Collection,,,,0,1705.0
cl010053159,Paintings,Historic Collection,,,100+,0,1780.0
cl010053160,Paintings,Historic Collection,,,,0,1775.0
cl010053161,Paintings,Historic Collection,,,100+,0,1787.0
cl010053162,Paintings,Historic Collection,,,,0,1679.0
cl010053165,Paintings,Other,,,,0,1650.0
cl010053166,Paintings,Historic Collection,,,100+,0,1766.0
cl010053167,Paintings,Other,,,100+,0,1750.0
cl010053169,Paintings,Other,,,,0,1750.0
cl010053170,Paintings,Historic Collection,,,,0,1670.0
cl010053173,Paintings,Other,,,,0,1750.0
cl010053177,Paintings,Purchase,,,,0,1625.0
cl010053178,Paintings,Other,,,,0,1763.0
cl010053180,Paintings,Historic Collection,,,,0,1650.0
cl010053181,Paintings,Historic Collection,,,,0,1650.0
cl010053184,Paintings,Purchase,,,,0,1500.0
cl010053187,Paintings,Purchase,,,,0,1450.0
cl010053188,Paintings,Purchase,,,61-80,0,1750.0
cl010053190,Paintings,Purchase,,,,0,1450.0
cl010053191,Paintings,Purchase,,,,0,1450.0
cl010053192,Paintings,Purchase,,,,0,1450.0
cl010053193,Paintings,Purchase,,,,0,1550.0
cl010053194,Paintings,Historic Collection,,,,0,1550.0
cl010053195,Paintings,Purchase,,,,0,1550.0
cl010053198,Paintings,Bequest,,,,0,1850.0
cl010053199,Paintings,Bequest,,,,0,1850.0
cl010053201,Paintings,Bequest,,,,0,1726.0
cl010053202,Paintings,Bequest,,,,0,1726.0
cl010053203,Paintings,Gift,,,,0,1850.0
cl010053204,Paintings,Other,,,100+,0,1850.0
cl010053205,Paintings,Historic Collection,,,,0,1650.0
cl010053206,Paintings,Historic Collection,,,,0,1650.0
cl010053207,Paintings,Historic Collection,,,,0,1650.0
cl010053208,Paintings,Historic Collection,,,,0,1650.0
cl010053209,Paintings,Gift,,,,0,1750.0
cl010053210,Paintings,Bequest,,,,0,1850.0
cl010053211,Paintings,Bequest,,,,0,1750.0
cl010053213,Paintings,Gift,,,100+,0,1716.0
cl010053214,Paintings,Historic Collection,,,100+,0,1635.0
cl010053215,Paintings,Historic Collection,,,100+,0,1651.0
cl010053216,Paintings,Gift,,,100+,0,1650.0
cl010053217,Paintings,Other,,,100+,0,1825.0
cl010053218,Paintings,Bequest,,,,0,1750.0
cl010053219,Paintings,Other,,,,0,1750.0
cl010053220,Paintings,Other,,,100+,0,1850.0
cl010053221,Paintings,Other,,,100+,0,1448.5
cl010053222,Paintings,Purchase,,,100+,0,1350.0
cl010053226,Paintings,Gift,,,,0,1767.0
cl010053227,Paintings,Bequest,,,,0,1850.0
cl010053229,Paintings,Gift,,,41-60,0,1916.0
cl010053231,Paintings,Historic Collection,,,,0,1650.0
cl010053233,Paintings,Historic Collection,,,,0,1650.0
cl010053239,Paintings,Historic Collection,,,,0,1650.0
cl010053240,Paintings,Gift,,,61-80,0,1855.0
cl010053243,Paintings,Bequest,,,,0,1750.0
cl010053246,Paintings,Purchase,,,,0,1729.0
cl010053247,Paintings,Historic Collection,,,,0,1650.0
cl010053248,Paintings,Bequest,,,100+,0,1732.0
cl010053251,Paintings,Other,,,100+,0,1819.0
cl010053253,Paintings,Other,,,100+,0,1850.0
cl010053254,Paintings,Other,,,100+,0,1824.0
cl010053255,Paintings,Gift,,,100+,0,1818.5
cl010053256,Paintings,Bequest,,,100+,0,1850.0
cl010053262,Paintings,Purchase,,,61-80,0,1824.0
cl010053263,Paintings,Bequest,,,,0,1856.0
cl010053266,Paintings,Purchase,,,,0,1750.0
cl010053267,Paintings,Bequest,,,,0,1750.0
cl010053269,Paintings,Bequest,,,100+,0,1861.0
cl010053270,Paintings,Bequest,,,100+,0,1812.5
cl010053275,Paintings,Historic Collection,,,,0,1650.0
cl010053276,Paintings,Historic Collection,,,,0,1650.0
cl010053280,Paintings,Purchase,,,,0,1850.0
cl010053281,Paintings,Purchase,,,,0,1850.0
cl010053282,Paintings,Other,,,,0,1824.0
cl010053283,Paintings,Purchase,,,,0,1850.0
cl010053284,Paintings,Other,,,,0,1850.0
