ark_id,collection,acquisition_type_en,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
cl010052906,Département des Peintures,Other,,,100+,0,1830.0
cl010052908,Département des Peintures,Purchase,,,,0,1850.0
cl010052909,Département des Peintures,Purchase,,,,0,1850.0
cl010052912,Département des Peintures,Historic Collection,,,,0,1750.0
cl010052914,Département des Peintures,Bequest,,,,0,1850.0
cl010052915,Département des Peintures,Bequest,,,100+,0,1853.0
cl010052916,Département des Peintures,Bequest,,,81-100,0,1850.0
cl010052918,Département des Peintures,Bequest,,,100+,0,1850.0
cl010052919,Département des Peintures,Purchase,,,100+,0,1835.0
cl010052921,Département des Peintures,Purchase,,,,0,1850.0
cl010052922,Département des Peintures,Purchase,,,,0,1850.0
cl010052924,Département des Peintures,Bequest,,,81-100,0,1825.0
cl010052925,Département des Peintures,Bequest,,,81-100,0,1825.0
cl010052926,Département des Peintures,Bequest,,,,0,1750.0
cl010052927,Département des Peintures,Purchase,,,,0,1850.0
cl010052928,Département des Peintures,Historic Collection,,,,0,1702.0
cl010052930,Département des Peintures,Other,,,,0,1752.0
cl010052931,Département des Peintures,Unknown,,,,0,1754.0
cl010052932,Département des Peintures,Historic Collection,,,,0,1750.0
cl010052933,Département des Peintures,Other,,,100+,0,1831.0
cl010052934,Département des Peintures,Other,,,100+,0,1819.0
cl010052935,Département des Peintures,Other,,,100+,0,1829.0
cl010052937,Département des Peintures,Historic Collection,,,,0,1714.5
cl010052938,Département des Peintures,Other,,,,0,1714.0
cl010052939,Département des Peintures,Historic Collection,,,,0,1702.0
cl010052940,Département des Peintures,Historic Collection,,,,0,1702.0
cl010052941,Département des Peintures,Historic Collection,,,,0,1702.0
cl010052942,Département des Peintures,Historic Collection,,,,0,1702.0
cl010052943,Département des Peintures,Other,,,,0,1714.0
cl010052944,Département des Peintures,Historic Collection,,,,0,1714.0
cl010052945,Département des Peintures,Other,,,,0,1726.0
cl010052948,Département des Peintures,Historic Collection,,,,0,1726.0
cl010052949,Département des Peintures,Historic Collection,,,,0,1726.0
cl010052950,Département des Peintures,Historic Collection,,,,0,1700.5
cl010052951,Département des Peintures,Historic Collection,,,,0,1700.5
cl010052952,Département des Peintures,Other,,,100+,0,1824.0
cl010052953,Département des Peintures,Historic Collection,,,,0,1650.0
cl010052954,Département des Peintures,Purchase,,,41-60,0,1727.5
cl010052955,Département des Peintures,Purchase,,,,0,1825.0
cl010052956,Département des Peintures,Other,,,100+,0,1850.0
cl010052962,Département des Peintures,Gift,,,,0,1547.0
cl010052965,Département des Peintures,Historic Collection,,,,0,1750.0
cl010052966,Département des Peintures,Gift,,,,0,1780.0
cl010052971,Département des Peintures,Other,,,100+,0,1813.0
cl010052973,Département des Peintures,Bequest,,,100+,0,1750.0
cl010052975,Département des Peintures,Historic Collection,,,,0,1743.0
cl010052976,Département des Peintures,Historic Collection,,,,0,1750.0
cl010052977,Département des Peintures,Historic Collection,,,,0,1750.0
cl010052979,Département des Peintures,Purchase,,,61-80,0,1850.0
cl010052980,Département des Peintures,Unknown,,,,0,1761.0
cl010052982,Département des Peintures,Purchase,,,61-80,0,1760.0
cl010052983,Département des Peintures,Other,,,,0,1832.0
cl010052988,Département des Peintures,Bequest,,,41-60,0,1658.0
cl010052989,Département des Peintures,Bequest,,,41-60,0,1780.0
cl010052990,Département des Peintures,Bequest,,,41-60,0,1750.0
cl010052991,Département des Peintures,Bequest,,,41-60,0,1650.0
cl010052992,Département des Peintures,Bequest,,,41-60,0,1750.0
cl010052993,Département des Peintures,Bequest,,,41-60,0,1750.0
cl010052994,Département des Peintures,Bequest,,,41-60,0,1750.0
cl010052995,Département des Peintures,Bequest,,,41-60,0,1812.5
cl010052996,Département des Peintures,Bequest,,,41-60,0,1812.5
cl010052997,Département des Peintures,Bequest,,,41-60,0,1750.0
cl010052998,Département des Peintures,Bequest,,,41-60,0,1750.0
cl010053000,Département des Peintures,Bequest,,,,0,1840.0
cl010053001,Département des Peintures,Bequest,,,,0,1857.0
cl010053002,Département des Peintures,Other,,,,0,1720.0
cl010053003,Département des Peintures,Gift,,,,0,1851.0
cl010053004,Département des Peintures,Purchase,,,,0,1841.0
cl010053006,Département des Peintures,Purchase,,,,0,1724.0
cl010053007,Département des Peintures,Purchase,,,,0,1724.0
cl010053008,Département des Peintures,Bequest,,,100+,0,1650.0
cl010053009,Département des Peintures,Purchase,,,,0,1850.0
cl010053010,Département des Peintures,Bequest,,,,0,1852.5
cl010053013,Département des Peintures,Gift,,,,0,1850.0
cl010053014,Département des Peintures,Bequest,,,,0,1850.0
cl010053017,Département des Peintures,Gift,,,100+,0,1580.0
cl010053018,Département des Peintures,Historic Collection,,,,0,1750.0
cl010053020,Département des Peintures,Purchase,,,,0,1863.0
cl010053021,Département des Peintures,Other,,,100+,0,1850.0
cl010053024,Département des Peintures,Historic Collection,,,,0,1750.0
cl010053025,Département des Peintures,Unknown,,,,0,1750.0
cl010053026,Département des Peintures,Historic Collection,,,,0,1750.0
cl010053027,Département des Peintures,Historic Collection,,,,0,1750.0
cl010053028,Département des Peintures,Historic Collection,,,,0,1750.0
cl010053029,Département des Peintures,Bequest,5440.0,Q3,,0,1750.0
cl010053031,Département des Peintures,Purchase,,,100+,0,1850.0
cl010053037,Département des Peintures,Bequest,,,,0,1840.5
cl010053039,Département des Peintures,Historic Collection,,,,0,1650.0
cl010053040,Département des Peintures,Bequest,,,,0,1850.0
cl010053041,Département des Peintures,Bequest,,,,0,1850.0
cl010053042,Département des Peintures,Unknown,,,,0,1685.0
cl010053045,Département des Peintures,Other,,,100+,0,1822.0
cl010053046,Département des Peintures,Other,,,,0,1808.0
cl010053047,Département des Peintures,Other,,,100+,0,1850.0
cl010053048,Département des Peintures,Other,,,,0,1850.0
cl010053050,Département des Peintures,Other,,,100+,0,1864.0
cl010053051,Département des Peintures,Purchase,,,,0,1850.0
cl010053052,Département des Peintures,Other,,,100+,0,1850.0
cl010053054,Département des Peintures,Purchase,,,,0,1755.0
cl010053057,Département des Peintures,Historic Collection,,,,0,1750.0
cl010053058,Département des Peintures,Gift,,,100+,0,1663.0
cl010053059,Département des Peintures,Bequest,,,,0,1750.0
cl010053061,Département des Peintures,Purchase,,,,0,1850.0
cl010053062,Département des Peintures,Other,,,100+,0,1819.0
cl010053064,Département des Peintures,Other,,,100+,0,1820.0
cl010053066,Département des Peintures,Other,,,100+,0,1850.0
cl010053067,Département des Peintures,Other,,,81-100,0,1775.0
