object_id,department,acquisition_type,area_cm2,area_quartile,collection_age_band,is_on_display,creation_year
36218,Asian Art,Gift,4329.4800000000005,Q3,1900-1950,0,1915.0
36219,Asian Art,Gift,3929.35,Q3,1900-1950,0,1924.0
36220,Asian Art,Gift,7981.95,Q3,1900-1950,0,1927.0
36221,Asian Art,Gift,2671.7999999999997,Q2,1900-1950,0,1916.0
36222,Asian Art,Gift,888.3,Q1 (smallest),1900-1950,0,1921.0
36223,Asian Art,Gift,4002.5699999999997,Q3,1900-1950,0,1928.0
36224,Asian Art,Gift,8151.2,Q3,1900-1950,0,1916.0
36225,Asian Art,Gift,3506.1,Q2,1900-1950,0,1916.0
36226,Asian Art,Gift,5980.380000000001,Q3,1900-1950,0,1923.0
36227,Asian Art,Gift,6141.719999999999,Q3,1900-1950,0,1924.0
36228,Asian Art,Gift,11688.0,Q4 (largest),1900-1950,0,1916.0
36229,Asian Art,Gift,4072.5,Q3,1900-1950,0,1933.0
36230,Asian Art,Gift,6273.41,Q3,1900-1950,0,1920.0
36231,Asian Art,Gift,920.04,Q1 (smallest),1900-1950,0,1931.0
36232,Asian Art,Gift,943.0100000000001,Q1 (smallest),1900-1950,0,1919.0
36233,Asian Art,Gift,883.5200000000001,Q1 (smallest),1900-1950,0,1929.0
36234,Asian Art,Gift,924.9100000000001,Q1 (smallest),1900-1950,0,1927.0
36235,Asian Art,Gift,895.95,Q1 (smallest),1900-1950,0,1935.0
36236,Asian Art,Gift,954.1800000000001,Q1 (smallest),1900-1950,0,1935.0
36237,Asian Art,Gift,5594.4,Q3,1900-1950,0,1932.0
36238,Asian Art,Gift,2373.56,Q2,1900-1950,0,1916.0
36239,Asian Art,Gift,4907.28,Q3,1900-1950,0,1916.0
36240,Asian Art,Gift,4521.2,Q3,1900-1950,0,1927.0
36241,Asian Art,Gift,920.04,Q1 (smallest),1900-1950,0,1916.0
36242,Asian Art,Gift,4641.17,Q3,1900-1950,0,1924.0
36243,Asian Art,Gift,4956.84,Q3,1900-1950,0,1924.0
36244,Asian Art,Gift,1121.32,Q2,1900-1950,0,1916.0
36245,Asian Art,Gift,1145.95,Q2,1900-1950,0,1927.0
36246,Asian Art,Gift,938.74,Q1 (smallest),1900-1950,0,1936.0
36247,Asian Art,Gift,4379.099999999999,Q3,1900-1950,0,1916.0
36248,Asian Art,Gift,5426.05,Q3,1900-1950,0,1932.0
36249,Asian Art,Gift,11975.49,Q4 (largest),1900-1950,0,1934.0
36250,Asian Art,Gift,1021.02,Q1 (smallest),1900-1950,0,1936.0
36251,Asian Art,Gift,964.1599999999999,Q1 (smallest),1900-1950,0,1934.0
36252,Asian Art,Gift,1042.8600000000001,Q1 (smallest),1900-1950,0,1932.0
36253,Asian Art,Gift,4889.43,Q3,1900-1950,0,1947.0
36254,Asian Art,Gift,4723.74,Q3,1900-1950,0,1931.0
36255,Asian Art,Gift,5426.82,Q3,1900-1950,0,1934.0
36256,Asian Art,Gift,6574.040000000001,Q3,1900-1950,0,1945.0
36257,Asian Art,Gift,935.55,Q1 (smallest),1900-1950,0,1943.0
36258,Asian Art,Gift,895.95,Q1 (smallest),1900-1950,0,1945.0
36259,Asian Art,Gift,1075.62,Q2,1900-1950,0,1924.0
36260,Asian Art,Gift,934.7199999999999,Q1 (smallest),1900-1950,0,1933.0
36261,Asian Art,Gift,937.58,Q1 (smallest),1900-1950,0,1940.0
36262,Asian Art,Gift,806.9799999999999,Q1 (smallest),1950-2000,0,1953.0
36263,Asian Art,Gift,930.34,Q1 (smallest),1900-1950,0,1939.0
36264,Asian Art,Gift,2342.21,Q2,1900-1950,0,1935.0
36265,Asian Art,Gift,1132.0800000000002,Q2,1900-1950,0,1948.0
36266,Asian Art,Gift,3790.9500000000003,Q3,1900-1950,0,1948.0
36267,Asian Art,Gift,1508.7,Q2,1900-1950,0,1928.0
36268,Asian Art,Gift,8369.199999999999,Q3,1900-1950,0,1939.0
36269,Asian Art,Gift,5683.86,Q3,1900-1950,0,1928.0
36270,Asian Art,Gift,4529.2,Q3,1900-1950,0,1928.0
36271,Asian Art,Gift,4559.610000000001,Q3,1900-1950,0,1937.0
36272,Asian Art,Gift,2432.88,Q2,1900-1950,0,1937.0
36273,Asian Art,Gift,845.13,Q1 (smallest),1900-1950,0,1940.0
36274,Asian Art,Gift,1009.05,Q1 (smallest),1900-1950,0,1928.0
36275,Asian Art,Gift,994.08,Q1 (smallest),1900-1950,0,1940.0
36276,Asian Art,Gift,881.5099999999999,Q1 (smallest),1900-1950,0,1943.0
36277,Asian Art,Gift,866.25,Q1 (smallest),1900-1950,0,1945.0
36278,Asian Art,Gift,910.8,Q1 (smallest),1900-1950,0,1929.0
36279,Asian Art,Gift,1027.2,Q1 (smallest),1900-1950,0,1930.0
36280,Asian Art,Gift,1909.68,Q2,1900-1950,0,1932.0
36281,Asian Art,Gift,2065.81,Q2,1900-1950,0,1946.0
36282,Asian Art,Gift,3517.8,Q2,1900-1950,0,1928.0
36283,Asian Art,Gift,3240.0,Q2,1900-1950,0,1946.0
36284,Asian Art,Gift,5768.820000000001,Q3,1900-1950,0,1940.0
36285,Asian Art,Gift,1053.4199999999998,Q2,1900-1950,0,1950.0
36286,Asian Art,Gift,995.1100000000001,Q1 (smallest),1900-1950,0,1942.0
36287,Asian Art,Gift,881.1,Q1 (smallest),1900-1950,0,1946.0
36288,Asian Art,Gift,934.7199999999999,Q1 (smallest),1900-1950,0,1941.0
36289,Asian Art,Gift,1341.34,Q2,1900-1950,0,1939.0
36290,Asian Art,Gift,4280.7300000000005,Q3,1950-2000,0,1951.0
36291,Asian Art,Gift,1688.7199999999998,Q2,1900-1950,0,1924.0
36292,Asian Art,Gift,935.55,Q1 (smallest),1900-1950,0,1932.0
36293,Asian Art,Gift,928.53,Q1 (smallest),1900-1950,0,1916.0
36294,Asian Art,Gift,3971.0999999999995,Q3,1900-1950,0,1916.0
36295,Asian Art,Gift,3640.8,Q3,1900-1950,0,1931.0
36296,Asian Art,Gift,1101.6,Q2,1900-1950,0,1931.0
36297,Asian Art,Gift,5026.599999999999,Q3,1900-1950,0,1925.0
36298,Asian Art,Gift,4867.22,Q3,1900-1950,0,1942.0
36299,Asian Art,Gift,934.7199999999999,Q1 (smallest),1900-1950,0,1930.0
36300,Asian Art,Gift,1773.9,Q2,1900-1950,0,1931.0
36301,Asian Art,Gift,2413.92,Q2,1900-1950,0,1932.0
36302,Asian Art,Gift,3016.2000000000003,Q2,1900-1950,0,1943.0
36303,Asian Art,Gift,8771.4,Q3,1950-2000,0,1953.0
36304,Asian Art,Gift,7703.080000000001,Q3,1900-1950,0,1923.0
36305,Asian Art,Gift,4200.78,Q3,1900-1950,0,1930.0
36306,Asian Art,Gift,1073.6499999999999,Q2,1950-2000,0,1961.0
36307,Asian Art,Gift,4867.05,Q3,1900-1950,0,1934.0
36308,Asian Art,Gift,1481.2200000000003,Q2,1900-1950,0,1920.0
