tag_list,mean,count
Philip IV,1.0,2
Philosophers,0.0,1
Phoenix,0.0,4
Phones,0.0,1
Pianos,0.25,8
Picnics,1.0,1
Pigeons,0.0,3
Pigs,0.3333333333333333,6
Pilate,0.6666666666666666,3
Pipes,0.3333333333333333,12
Pitchers,0.3333333333333333,18
Planes,0.0,6
Plants,0.013157894736842105,76
Playing,0.14285714285714285,14
Playing Cards,0.07692307692307693,13
Pluto,1.0,1
Poetry,0.0,29
Poets,0.0,24
Police,0.0,1
Pomegranates,0.0,6
Ponds,0.5,8
Popes,0.6666666666666666,3
Poppies,0.3,10
Portraits,0.3068309070548712,893
Post Offices,0.0,1
Potatoes,0.0,1
Praying,0.25,4
Priests,0.0,1
Princes,0.2727272727272727,11
Princesses,0.5,8
Prisoners,1.0,1
Prisons,0.5,4
Processions,0.25,4
Profiles,0.275,40
Prostitutes,1.0,3
Psyche,0.0,1
Puppets,0.0,7
Purses,0.0,1
Putti,0.5625,32
Pygmalion,0.0,1
Pyramids,0.5,2
Queen of Sheba,0.0,1
Queens,0.18181818181818182,11
Rabbits,0.08333333333333333,24
Radha,0.0,29
Railways,0.14285714285714285,7
Rain,0.0,4
Rainbows,0.4,5
Rams,0.0,1
Rats,0.0,4
Reading,0.18421052631578946,38
Restaurants,0.0,3
Resurrection,0.6666666666666666,9
Rings,0.5,2
Rivers,0.23225806451612904,155
Roads,0.23333333333333334,30
Robes,0.0,4
Rome,0.40425531914893614,47
Roofs,0.0,5
Roosters,0.0,20
Rosaries,0.25,4
Roses,0.13636363636363635,22
Rowing,0.0,1
Ruins,0.2903225806451613,31
Sadness,0.65,20
Sailors,0.0,1
Saint Andrew,0.5,2
Saint Anne,0.5555555555555556,9
Saint Anthony,0.5714285714285714,7
Saint Barbara,0.5,2
Saint Bartholomew,0.0,1
Saint Catherine,0.6521739130434783,23
Saint Christopher,0.5,4
Saint Francis,0.6666666666666666,27
Saint George,0.5,4
Saint Jerome,0.65,20
Saint John the Baptist,0.6612903225806451,62
Saint John the Evangelist,0.6486486486486487,37
Saint Joseph,0.6363636363636364,11
Saint Lawrence,0.6666666666666666,3
Saint Leonard,1.0,2
Saint Lucy,1.0,1
Saint Mark,0.5,2
Saint Matthew,0.625,8
Saint Michael,0.6666666666666666,9
Saint Nicholas,1.0,1
Saint Paul,0.5,18
Saint Peter,0.75,24
Saint Sebastian,0.0,1
Saint Ursula,1.0,1
Saint Zenobius,1.0,1
Saints,0.48344370860927155,151
Salome,0.5,6
Samson,0.6666666666666666,3
Satire,0.5,2
Satyrs,0.6,5
Scales,0.2,5
Scarves,0.0,1
Schools,0.0,1
Science,0.0,1
Scientists,0.5,2
Scissors,0.0,1
Screens,0.0,3
Scrolls,0.14285714285714285,7
Sculpture,0.5384615384615384,13
Seas,0.42857142857142855,7
Seascapes,0.3548387096774194,31
Self-portraits,0.25925925925925924,54
Serpents,0.16666666666666666,6
Servants,0.42105263157894735,19
Sewing,0.125,8
Shakespeare,0.0,2
Shakyamuni,0.1,10
Sheep,0.3055555555555556,36
Shells,0.2857142857142857,7
Shepherds,0.5,22
Shields,1.0,4
Shintō,0.0,1
Ships,0.34615384615384615,26
Shiva,0.0,8
Shoes,0.3333333333333333,3
Shops,0.0,4
Sibyl,0.5,2
Singers,0.6666666666666666,3
Skating,0.2,5
Skeletons,0.3333333333333333,9
Skulls,0.5,24
Sky,0.42857142857142855,21
Sleeping,0.5172413793103449,29
Smoking,0.14285714285714285,28
Snails,0.5,2
Snakes,0.35,20
Snow,0.044444444444444446,45
Socrates,0.0,1
Soldiers,0.42105263157894735,57
Solomon,0.0,2
Spears,0.0,1
Spectators,0.125,8
Sphinx,1.0,1
Spiders,0.0,1
Spinning Wheel,0.5,2
Sports,0.2,5
Spring,0.16666666666666666,6
Squirrels,0.0,16
Stairs,0.0,2
Stars,0.0,2
Still Life,0.29411764705882354,170
Stools,0.25,4
Storms,0.23076923076923078,13
Strawberries,0.0,4
Streams,0.09523809523809523,21
Street Scene,0.14285714285714285,7
Streets,0.08823529411764706,34
Students,0.6666666666666666,3
Stupas,0.0,9
Subways,0.0,1
Suffering,0.75,8
Summer,0.2,5
Sun,0.2857142857142857,7
Sunflowers,0.3333333333333333,6
Swans,0.3333333333333333,6
Swimming,0.0,2
Swords,0.2,50
Tables,0.08333333333333333,48
Tablets,1.0,1
Tags,1.0,1
Tankards,1.0,1
Taverns,0.0,1
Tea,0.2,5
Tea Ceremony,0.0,1
Tea Drinking,0.0,2
Teachers,0.5,2
Teapots,0.5,2
Television,0.0,3
Temples,0.14285714285714285,21
Tennis,0.0,1
Tents,0.45454545454545453,11
Theatre,0.25,4
Theseus,1.0,1
Thrones,0.0,4
Tigers,0.034482758620689655,29
Tombs,0.3333333333333333,6
Tools,0.0,1
Towers,0.4666666666666667,15
Towns,0.41025641025641024,39
Toys,0.625,8
Train Stations,0.0,2
Trains,0.2222222222222222,9
Transatlantic Cable,0.0,6
Trees,0.06744868035190615,341
Triton,1.0,1
Trojan War,1.0,1
Trumpets,0.0,1
Tulips,1.0,2
Tunnels,1.0,1
Turkeys,0.5,2
Turtles,0.0,9
Typewriters,0.0,1
Umbrellas,0.0,6
Urns,0.0,1
Vajrapani,0.5,2
Vases,0.23809523809523808,21
Vegetables,0.05263157894736842,19
Venice,0.8888888888888888,18
Venus,0.7142857142857143,14
Vessels,0.0,1
Villages,0.38095238095238093,21
Vines,0.16666666666666666,6
Violins,0.45454545454545453,11
Virgin Mary,0.6144578313253012,166
Vishnu,0.0,6
Visitation,1.0,2
Volcanoes,0.5,4
Wagons,0.16666666666666666,6
Warriors,0.0,1
Wars,0.0,1
Washing,0.6,5
Watches,0.0,2
Water Lilies,1.0,3
Waterfalls,0.14814814814814814,54
Watermills,0.0,1
Waves,0.15789473684210525,19
Weapons,0.0,4
Weddings,0.3333333333333333,6
Wells,1.0,1
Whales,1.0,1
Windmills,0.14285714285714285,7
Windows,0.23076923076923078,13
Wine,0.0,2
Winter,0.2962962962962963,27
Witches,1.0,1
Wolves,0.6666666666666666,3
Women,0.2554054054054054,1480
Working,0.3023255813953488,43
World War I,0.0,1
Wreaths,0.5,2
Wrestling,0.0,3
Writing,0.3333333333333333,15
Writing Implements,0.0,2
Zodiac,0.0,2
