object_id,object_id,title,artist_name,artist_nationality,artist_begin_date,artist_end_date,object_begin_date,object_end_date,medium,dimensions,department,culture,period,credit_line,accession_year,is_public_domain,is_highlight,height_cm,width_cm,gallery_number,is_on_display,tags
36004,36004,元末明初 佚名牧羊圖團扇頁 絹本設色|Sheep and herd boy,Unidentified artist, ,          ,          ,1300,1399,Fan mounted as an album leaf; ink and color on silk,9 1/2 x 9 3/4 in. (24.1 x 24.8 cm),Asian Art,China,late Yuan (1271–1368)–early Ming (1368–1644) dynasty,"John Stewart Kennedy Fund, 1913",1913,True,False,24.1,24.8,,0,Boys|Sheep
36004,36004,元末明初 佚名牧羊圖團扇頁 絹本設色|Sheep and herd boy,Unidentified artist, ,          ,          ,1300,1399,Fan mounted as an album leaf; ink and color on silk,9 1/2 x 9 3/4 in. (24.1 x 24.8 cm),Asian Art,China,late Yuan (1271–1368)–early Ming (1368–1644) dynasty,"John Stewart Kennedy Fund, 1913",1913,True,False,24.1,24.8,,0,Boys|Sheep
36005,36005,"南宋  夏珪  山市晴嵐圖  冊頁|Mountain Market, Clearing Mist",Xia Gui,Chinese,1195      ,1230      ,1200,1230,"Album leaf; ink on silk  
",9 3/4 x 8 3/8 in. (24.8 x 21.3 cm),Asian Art,China,Southern Song dynasty (1127–1279),"John Stewart Kennedy Fund, 1913",1913,True,False,24.8,21.3,,0,Mountains|Landscapes
36005,36005,"南宋  夏珪  山市晴嵐圖  冊頁|Mountain Market, Clearing Mist",Xia Gui,Chinese,1195      ,1230      ,1200,1230,"Album leaf; ink on silk  
",9 3/4 x 8 3/8 in. (24.8 x 21.3 cm),Asian Art,China,Southern Song dynasty (1127–1279),"John Stewart Kennedy Fund, 1913",1913,True,False,24.8,21.3,,0,Mountains|Landscapes
36006,36006,,,,,,1200,1279,Fan mounted as an album leaf; ink and color on silk,9 3/8 x 9 3/5 in. (23.8 x 24.4 cm),Asian Art,China,Southern Song dynasty (1127–1279),"John Stewart Kennedy Fund, 1913",1913,True,False,23.8,24.4,212,1,Narcissus
36006,36006,,,,,,1200,1279,Fan mounted as an album leaf; ink and color on silk,9 3/8 x 9 3/5 in. (23.8 x 24.4 cm),Asian Art,China,Southern Song dynasty (1127–1279),"John Stewart Kennedy Fund, 1913",1913,True,False,23.8,24.4,212,1,Narcissus
36007,36007,南宋  佚名  雪景待渡圖  團扇|Waiting for the Ferry,Unidentified artist, ,          ,          ,1200,1233,Fan mounted as an album leaf; ink on silk,9 7/8 x 10 1/8 in. (25.1 x 25.7 cm),Asian Art,China,Song dynasty (960–1279),"John Stewart Kennedy Fund, 1913",1913,True,False,25.1,25.7,,0,Mountains|Landscapes|Snow
36007,36007,南宋  佚名  雪景待渡圖  團扇|Waiting for the Ferry,Unidentified artist, ,          ,          ,1200,1233,Fan mounted as an album leaf; ink on silk,9 7/8 x 10 1/8 in. (25.1 x 25.7 cm),Asian Art,China,Song dynasty (960–1279),"John Stewart Kennedy Fund, 1913",1913,True,False,25.1,25.7,,0,Mountains|Landscapes|Snow
36008,36008,明   佚名   觀音羅漢圖   扇|Guanyin and the sixteen luohans,Unidentified artist, ,          ,          ,1500,1644,"Round fan mounted as an album leaf; ink, color, and gold on silk",Sheet: H. 12 in. (30.5 cm); W. 12 1/4 in. (31.1 cm); Diam. 8 3/8 in. (21.3 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,,,,0,Bridges|Men|Women|Buddhism|Bodhisattvas
36008,36008,明   佚名   觀音羅漢圖   扇|Guanyin and the sixteen luohans,Unidentified artist, ,          ,          ,1500,1644,"Round fan mounted as an album leaf; ink, color, and gold on silk",Sheet: H. 12 in. (30.5 cm); W. 12 1/4 in. (31.1 cm); Diam. 8 3/8 in. (21.3 cm),Asian Art,China,Ming dynasty (1368–1644),"John Stewart Kennedy Fund, 1913",1913,True,False,,,,0,Bridges|Men|Women|Buddhism|Bodhisattvas
